ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
1,1,-14.26,30.54,0.000,0.000,0.019,0.000,0.262,0.475,0.000,0.003,0.000,0.213,0.017,0.003,0.000,0.000,0.008
2,2,-14.13,30.59,0.000,0.000,0.037,0.000,0.291,0.366,0.000,0.003,0.000,0.256,0.026,0.007,0.000,0.000,0.014
3,3,-14.06,30.71,0.000,0.000,0.082,0.000,0.213,0.383,0.000,0.010,0.005,0.270,0.019,0.001,0.000,0.000,0.018
4,4,-14.17,30.9,0.000,0.000,0.008,0.000,0.268,0.603,0.000,0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000
5,5,-13.94,30.85,0.000,0.000,0.204,0.000,0.126,0.393,0.000,0.011,0.002,0.227,0.020,0.002,0.000,0.000,0.014
6,6,-13.88,30.73,0.000,0.000,0.056,0.000,0.221,0.554,0.000,0.001,0.000,0.166,0.002,0.000,0.000,0.000,0.000
7,7,-13.9,30.97,0.000,0.000,0.092,0.000,0.078,0.469,0.000,0.020,0.002,0.298,0.016,0.005,0.000,0.000,0.020
8,8,-14.07,31.05,0.000,0.000,0.066,0.000,0.195,0.509,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000
9,9,-13.98,31.22,0.000,0.000,0.055,0.000,0.162,0.477,0.000,0.002,0.000,0.301,0.003,0.000,0.000,0.000,0.000
10,10,-13.6,30.97,0.000,0.000,0.015,0.000,0.474,0.174,0.000,0.000,0.000,0.336,0.000,0.000,0.000,0.000,0.001
11,11,-14.14,31.37,0.000,0.000,0.427,0.000,0.000,0.181,0.000,0.005,0.006,0.344,0.037,0.000,0.000,0.000,0.000
12,12,-14.21,31.43,0.000,0.000,0.813,0.000,0.000,0.028,0.000,0.007,0.004,0.071,0.077,0.000,0.000,0.000,0.000
13,13,-14.2,31.54,0.000,0.000,0.726,0.000,0.013,0.084,0.000,0.002,0.018,0.060,0.097,0.000,0.000,0.000,0.000
14,14,-13.74,30.9,0.000,0.000,0.031,0.000,0.334,0.456,0.000,0.000,0.000,0.174,0.002,0.002,0.000,0.000,0.002
15,15,-13.84,31.1,0.000,0.000,0.103,0.000,0.245,0.353,0.000,0.023,0.002,0.223,0.025,0.006,0.000,0.000,0.021
16,16,-13.76,31.14,0.000,0.000,0.212,0.000,0.152,0.358,0.000,0.024,0.005,0.208,0.025,0.006,0.000,0.000,0.012
17,17,-13.62,31.13,0.000,0.000,0.068,0.000,0.334,0.312,0.000,0.013,0.001,0.220,0.025,0.008,0.000,0.000,0.020
18,18,-13.57,31.29,0.000,0.000,0.481,0.000,0.045,0.255,0.000,0.003,0.001,0.147,0.033,0.012,0.000,0.000,0.024
19,19,-13.7,31.26,0.000,0.000,0.245,0.000,0.040,0.391,0.000,0.022,0.003,0.270,0.025,0.001,0.000,0.000,0.005
20,20,-13.86,31.35,0.000,0.000,0.136,0.000,0.228,0.488,0.000,0.001,0.000,0.147,0.000,0.000,0.000,0.000,0.000
21,21,-13.53,31.4,0.000,0.000,0.322,0.000,0.014,0.456,0.000,0.002,0.002,0.158,0.016,0.009,0.000,0.000,0.021
22,22,-13.31,31.17,0.003,0.000,0.032,0.000,0.509,0.274,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000
23,23,-13.21,31.2,0.000,0.000,0.032,0.000,0.352,0.344,0.000,0.000,0.000,0.272,0.000,0.000,0.000,0.000,0.000
24,24,-13.1,31.29,0.002,0.000,0.034,0.000,0.562,0.228,0.011,0.000,0.000,0.163,0.000,0.000,0.000,0.000,0.000
25,25,-13.12,31.2,0.004,0.000,0.013,0.000,0.533,0.198,0.006,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.000
26,26,-13.34,31.03,0.000,0.000,0.011,0.000,0.584,0.190,0.000,0.000,0.000,0.216,0.000,0.000,0.000,0.000,0.000
27,27,-13.27,30.95,0.000,0.000,0.005,0.000,0.387,0.418,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000
