BasinID,Year,Month,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
1,2000,1,0,0,3.28,0,3.374,3.159,0,2.962,0,3.07,2.246,2.429,0,0,1.97
1,2000,2,0,0,2.588,0,2.583,2.696,0,2.476,0,2.628,2.181,2.314,0,0,1.692
1,2000,3,0,0,2.863,0,2.936,2.827,0,2.506,0,2.792,2.316,2.235,0,0,1.765
1,2000,4,0,0,2.938,0,2.963,2.739,0,2.609,0,2.664,2.134,2.169,0,0,1.722
1,2000,5,0,0,1.992,0,2.079,1.9,0,1.806,0,1.866,1.542,1.554,0,0,1.341
1,2000,6,0,0,1.423,0,1.544,1.342,0,1.374,0,1.334,1.143,1.161,0,0,1.03
1,2000,7,0,0,1.042,0,1.168,0.993,0,0.984,0,0.995,0.853,0.879,0,0,0.811
1,2000,8,0,0,0.898,0,1.006,0.846,0,0.84,0,0.868,0.751,0.765,0,0,0.728
1,2000,9,0,0,0.77,0,0.839,0.738,0,0.844,0,0.754,0.714,0.779,0,0,0.722
1,2000,10,0,0,0.855,0,1.005,0.854,0,0.962,0,0.878,0.813,0.907,0,0,0.827
1,2000,11,0,0,1.492,0,1.764,1.482,0,1.704,0,1.459,1.134,1.476,0,0,1.196
