ID	Watershed	UZTWM	UZFWM	UZK	ZPERC	REXP	LZTWM	LZFSM	LZFPM	LZSK	LZPK	PFREE
1	1	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
2	2	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
3	3	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
4	4	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
5	5	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
6	6	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
7	7	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
8	8	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
9	9	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
10	10	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
11	11	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
12	12	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
13	13	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
14	14	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
15	15	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
16	16	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
17	17	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
18	18	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
19	19	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
20	20	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
21	21	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
22	22	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
23	23	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
24	24	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
25	25	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
26	26	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
27	27	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
28	28	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
29	29	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
30	30	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
31	31	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
32	32	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
33	33	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
34	34	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
35	35	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
36	36	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
37	37	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
38	38	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
39	39	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
40	40	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
41	41	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
42	42	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
43	43	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
44	44	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
45	45	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
46	46	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
47	47	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
48	48	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
49	49	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
50	50	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
51	51	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
52	52	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
53	53	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
54	54	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
55	55	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
56	56	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
57	57	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
58	58	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
59	59	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
60	60	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
61	61	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
62	62	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
63	63	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
64	64	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
65	65	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
66	66	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
67	67	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
68	68	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
69	69	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
70	70	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
71	71	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
72	72	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
73	73	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
74	74	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
75	75	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
76	76	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
77	77	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
78	78	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
79	79	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
80	80	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
81	81	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
82	82	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
83	83	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
84	84	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
85	85	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
86	86	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
87	87	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
88	88	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
89	89	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
90	90	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
91	91	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
92	92	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
93	93	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
94	94	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
95	95	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
96	96	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
97	97	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
98	98	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
99	99	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
100	100	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
101	101	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
102	102	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
103	103	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
104	104	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
105	105	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
106	106	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
107	107	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
108	108	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
109	109	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
110	110	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
111	111	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
112	112	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
113	113	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
114	114	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
115	115	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
116	116	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
117	117	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
118	118	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
119	119	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
120	120	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
121	121	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
122	122	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
123	123	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
124	124	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
125	125	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
126	126	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
